He-Ne,88.05,2.478,3.029,36.18,545.1,5.755,0.6591e-4
He-Ar,133.9,2.166,9.538,167.5,3701,6.602,0.94884e-4
He-Kr,125.3,2.036,13.40,280.0,7257,6.955,0.9916e-4
He-Xe,107.4,1.870,19.54,525.0,16670,7.497,0.9479e-4
Ne-Ar,314.5,2.175,19.50,390.1,9335,6.608,2.031e-4
Ne-Kr,303.1,2.056,27.30,638.1,17660,6.926,2.181e-4
Ne-Xe,272.6,1.902,39.66,1162,38980,7.419,2.158e-4
Ar-Kr,778.2,1.941,91.13,2617,88260,7.357,5.282e-4
Ar-Xe,768.5,1.823,134.5,4670,184300,7.756,5.840e-4
Kr-Xe,863.5,1.762,191.9,7389,316000,7.946,7.324e-4
