#T,Tunit,B,xAr,xXe
50,K,-6719.52,0.25,0.75
100,K,-753.26,0.25,0.75
150,K,-343.23,0.25,0.75
200,K,-200.97,0.25,0.75
250,K,-128.98,0.25,0.75
300,K,-89.03,0.25,0.75
0,C,-107.64,0.25,0.75
20,C,-93.29,0.25,0.75
40,C,-81.56,0.25,0.75
60,C,-71.62,0.25,0.75
80,C,-63.00,0.25,0.75
100,C,-55.66,0.25,0.75
150,C,-40.71,0.25,0.75
200,C,-29.38,0.25,0.75
50,K,-3759.68,0.5,0.5
100,K,-509.46,0.5,0.5
150,K,-233.79,0.5,0.5
200,K,-135.22,0.5,0.5
250,K,-86.32,0.5,0.5
300,K,-58.28,0.5,0.5
0,C,-71.52,0.5,0.5
20,C,-61.34,0.5,0.5
40,C,-52.88,0.5,0.5
60,C,-45.66,0.5,0.5
80,C,-39.41,0.5,0.5
100,C,-33.95,0.5,0.5
150,C,-22.89,0.5,0.5
200,C,-14.45,0.5,0.5
50,K,-1757.66,0.75,0.25
100,K,-321.97,0.75,0.25
150,K,-147.97,0.75,0.25
200,K,-84.39,0.75,0.25
250,K,-52.91,0.75,0.25
300,K,-34.07,0.75,0.25
0,C,-43.11,0.75,0.25
20,C,-36.18,0.75,0.25
40,C,-30.32,0.75,0.25
60,C,-25.27,0.75,0.25
80,C,-20.87,0.75,0.25
100,C,-17.00,0.75,0.25
150,C,-9.10,0.75,0.25
200,C,-3.06,0.75,0.25
