#T,Tunit,B,xHe,xNe
50,K,-19.98,0.25,0.75
100,K,1.32,0.25,0.75
150,K,7.24,0.25,0.75
200,K,9.76,0.25,0.75
250,K,11.07,0.25,0.75
300,K,11.77,0.25,0.75
0,C,11.45,0.25,0.75
20,C,11.70,0.25,0.75
40,C,11.89,0.25,0.75
60,C,12.04,0.25,0.75
80,C,12.16,0.25,0.75
100,C,12.25,0.25,0.75
150,C,12.45,0.25,0.75
200,C,12.63,0.25,0.75
50,K,-6.84,0.5,0.5
100,K,6.15,0.5,0.5
150,K,9.57,0.5,0.5
200,K,10.94,0.5,0.5
250,K,11.69,0.5,0.5
300,K,12.07,0.5,0.5
0,C,11.90,0.5,0.5
20,C,12.03,0.5,0.5
40,C,12.13,0.5,0.5
60,C,12.21,0.5,0.5
80,C,12.26,0.5,0.5
100,C,12.30,0.5,0.5
150,C,12.35,0.5,0.5
200,C,12.38,0.5,0.5
50,K,3.05,0.75,0.25
100,K,9.50,0.75,0.25
150,K,11.12,0.75,0.25
200,K,11.70,0.75,0.25
250,K,11.98,0.75,0.25
300,K,12.07,0.75,0.25
0,C,12.04,0.75,0.25
20,C,12.07,0.75,0.25
40,C,12.08,0.75,0.25
60,C,12.07,0.75,0.25
80,C,12.06,0.75,0.25
100,C,12.03,0.75,0.25
150,C,11.95,0.75,0.25
200,C,11.86,0.75,0.25
