#T,Tunit,B,xHe,xXe
50,K,-5995.57,0.25,0.75
100,K,-589.16,0.25,0.75
150,K,-260.10,0.25,0.75
200,K,-148.98,0.25,0.75
250,K,-91.65,0.25,0.75
300,K,-60.57,0.25,0.75
0,C,-74.91,0.25,0.75
20,C,-63.83,0.25,0.75
40,C,-54.86,0.25,0.75
60,C,-47.30,0.25,0.75
80,C,-40.82,0.25,0.75
100,C,-35.21,0.25,0.75
150,C,-23.99,0.25,0.75
200,C,-15.55,0.25,0.75
50,K,-2673.89,0.5,0.5
100,K,-256.96,0.5,0.5
150,K,-106.68,0.5,0.5
200,K,-55.82,0.5,0.5
250,K,-29.76,0.5,0.5
300,K,-15.63,0.5,0.5
0,C,-22.16,0.5,0.5
20,C,-17.12,0.5,0.5
40,C,-13.02,0.5,0.5
60,C,-9.55,0.5,0.5
80,C,-6.56,0.5,0.5
100,C,-3.98,0.5,0.5
150,C,1.18,0.5,0.5
200,C,5.03,0.5,0.5
50,K,-672.14,0.75,0.25
100,K,-56.79,0.75,0.25
150,K,-16.02,0.75,0.25
200,K,-2.15,0.75,0.25
250,K,4.77,0.75,0.25
300,K,8.48,0.75,0.25
0,C,6.76,0.75,0.25
20,C,8.08,0.75,0.25
40,C,9.17,0.75,0.25
60,C,10.10,0.75,0.25
80,C,10.89,0.75,0.25
100,C,11.58,0.75,0.25
150,C,12.93,0.75,0.25
200,C,13.91,0.75,0.25
