#T,Tunit,B,xNe,xAr
50,K,-450.58,0.25,0.75
100,K,-119.29,0.25,0.75
150,K,-51.17,0.25,0.75
200,K,-26.03,0.25,0.75
250,K,-12.61,0.25,0.75
300,K,-4.26,0.25,0.75
0,C,-8.31,0.25,0.75
20,C,-5.21,0.25,0.75
40,C,-2.57,0.25,0.75
60,C,-0.29,0.25,0.75
80,C,1.70,0.25,0.75
100,C,3.43,0.25,0.75
150,C,6.95,0.25,0.75
200,C,9.60,0.25,0.75
50,K,-250.11,0.5,0.5
100,K,-64.49,0.5,0.5
150,K,-24.66,0.5,0.5
200,K,-9.10,0.5,0.5
250,K,-0.75,0.5,0.5
300,K,4.38,0.5,0.5
0,C,1.91,0.5,0.5
20,C,3.80,0.5,0.5
40,C,5.40,0.5,0.5
60,C,6.76,0.5,0.5
80,C,7.94,0.5,0.5
100,C,8.96,0.5,0.5
150,C,10.99,0.5,0.5
200,C,12.51,0.5,0.5
50,K,-112.03,0.75,0.25
100,K,-26.39,0.75,0.25
150,K,-6.23,0.75,0.25
200,K,2.29,0.75,0.25
250,K,6.84,0.75,0.25
300,K,9.52,0.75,0.25
0,C,8.24,0.75,0.25
20,C,9.22,0.75,0.25
40,C,10.03,0.75,0.25
60,C,10.72,0.75,0.25
80,C,11.29,0.75,0.25
100,C,11.78,0.75,0.25
150,C,12.76,0.75,0.25
200,C,13.51,0.75,0.25
