#T,Tunit,B,xNe,xXe
50,K,-6058.39,0.25,0.75
100,K,-611.11,0.25,0.75
150,K,-273.27,0.25,0.75
200,K,-157.70,0.25,0.75
250,K,-97.62,0.25,0.75
300,K,-64.84,0.25,0.75
0,C,-79.98,0.25,0.75
20,C,-68.29,0.25,0.75
40,C,-58.83,0.25,0.75
60,C,-50.87,0.25,0.75
80,C,-44.08,0.25,0.75
100,C,-38.21,0.25,0.75
150,C,-26.51,0.25,0.75
200,C,-17.74,0.25,0.75
50,K,-2765.32,0.5,0.5
100,K,-288.95,0.5,0.5
150,K,-125.54,0.5,0.5
200,K,-68.09,0.5,0.5
250,K,-38.02,0.5,0.5
300,K,-21.44,0.5,0.5
0,C,-29.10,0.5,0.5
20,C,-23.19,0.5,0.5
40,C,-18.37,0.5,0.5
60,C,-14.33,0.5,0.5
80,C,-10.88,0.5,0.5
100,C,-7.91,0.5,0.5
150,C,-2.01,0.5,0.5
200,C,2.37,0.5,0.5
50,K,-757.98,0.75,0.25
100,K,-86.02,0.75,0.25
150,K,-33.07,0.75,0.25
200,K,-12.80,0.75,0.25
250,K,-2.10,0.75,0.25
300,K,3.90,0.75,0.25
0,C,1.10,0.75,0.25
20,C,3.26,0.75,0.25
40,C,5.02,0.75,0.25
60,C,6.49,0.75,0.25
80,C,7.73,0.75,0.25
100,C,8.80,0.75,0.25
150,C,10.91,0.75,0.25
200,C,12.48,0.75,0.25
