T (K),B (cm3 mol−1),C (cm6 mol−2),η (μPas),λ (mW m−1 K−1)
25.00,−128.50,-1716,3.9213,6.0597
26.00,-119.87,-1130,4.0790,6.3033
27.00,-112.02,-689.5,4.2353,6.5446
28.00,-105.04,-358.4,4.3927,6.7878
30.00,-92.972,78.89,4.7097,7.2775
32.00,-82.953,325.4,5.0270,7.7676
34.00,-74.517,461.5,5.3447,8.2585
36.00,-67.316,532.2,5.6617,8.7482
38.00,-61.085,564.7,5.9784,9.2377
40.00,-55.657,574.0,6.2915,9.7214
42.00,-50.888,569.7,6.6035,10.204
44.00,-46.666,557.7,6.9132,10.682
46.00,-42.905,541.5,7.2191,11.155
48.00,-39.526,523.4,7.5245,11.627
50.00,-36.486,504.6,7.8257,12.093
55.00,-30.063,459.3,8.5658,13.237
60.00,-24.892,419.9,9.2862,14.352
65.00,-20.676,387.2,9.9868,15.436
70.00,-17.169,360.6,10.668,16.491
75.00,-14.213,339.9,11.331,17.518
80.00,-11.676,321.5,11.976,18.518
85.00,-9.4909,307.0,12.605,19.493
90.00,-7.5869,295.2,13.217,20.443
95.00,-5.9132,285.4,13.815,21.370
100.00,-4.4329,277.3,14.399,22.277
110.00,-1.9365,264.7,15.528,24.030
120.00,0.0895,255.6,16.612,25.713
130.00,1.7559,248.8,17.654,27.333
140.00,3.1490,243.5,18.660,28.896
150.00,4.3280,239.4,19.634,30.410
160.00,5.3365,236.0,20.579,31.879
170.00,6.2068,233.1,21.498,33.307
180.00,6.9638,230.6,22.394,34.699
190.00,7.6271,228.6,23.268,36.058
200.00,8.2116,226.5,24.122,37.385
210.00,8.7298,224.7,24.958,38.685
220.00,9.1906,223.1,25.778,39.959
230.00,9.6037,221.5,26.583,41.210
240.00,9.9744,220.0,27.372,42.436
250.00,10.308,218.6,28.149,43.643
260.00,10.610,217.3,28.912,44.829
270.00,10.884,215.9,29.665,45.999
273.15,10.964,215.5,29.900,46.364
280.00,11.133,214.6,30.408,47.153
290.00,11.360,213.9,31.139,48.289
298.15,11.530,212.9,31.728,49.203
300.00,11.567,212.2,31.860,49.410
320.00,11.930,209.8,33.277,51.610
340.00,12.237,207.4,34.660,53.758
360.00,12.497,205.2,36.014,55.859
380.00,12.719,203.0,37.339,57.917
400.00,12.909,200.8,38.640,59.937
420.00,13.072,198.8,39.918,61.921
440.00,13.212,196.7,41.174,63.871
460.00,13.333,194.8,42.411,65.789
480.00,13.437,192.8,43.628,67.679
500.00,13.527,190.9,44.829,69.542
550.00,13.700,186.4,47.761,74.091
600.00,13.819,182.1,50.604,78.502
650.00,13.896,178.0,53.370,82.793
700.00,13.943,174.2,56.068,86.977
750.00,13.968,170.6,58.703,91.065
800.00,13.975,167.2,61.284,95.067
850.00,13.968,163.9,63.814,98.9901
900.00,13.952,160.8,66.298,102.84
950.00,13.927,157.9,68.739,106.63
1000.00,13.895,155.1,71.141,110.35
1100.00,13.819,149.9,75.838,117.63
1200.00,13.730,145.1,80.408,124.72
1300.00,13.634,140.7,84.866,131.63
1400.00,13.534,136.7,89.223,138.38
1500.00,13.432,132.9,93.489,144.99
1600.00,13.329,129.5,97.674,151.48
1700.00,13.226,126.2,101.78,157.85
1800.00,13.125,123.2,105.83,164.11
1900.00,13.025,120.3,109.80,170.28
2000.00,12.926,117.6,113.72,176.35
2100.00,12.830,115.1,117.59,182.34
2200.00,12.736,112.7,121.40,188.25
2300.00,12.644,110.4,125.17,194.08
2400.00,12.554,108.2,128.89,199.85
2500.00,12.467,106.2,132.57,205.55
2600.00,12.381,104.2,136.21,211.19
2700.00,12.298,102.4,139.81,216.76
2800.00,12.216,100.6,143.38,222.29
2900.00,12.137,98.92,146.91,227.76
3000.00,12.059,97.29,150.41,233.18
3100.00,11.984,95.73,153.87,238.55
3200.00,11.910,94.24,157.31,243.88
3300.00,11.838,92.80,160.72,249.16
3400.00,11.767,91.41,164.11,254.40
3500.00,11.698,90.08,167.46,259.60
3600.00,11.631,88.80,170.79,264.76
3700.00,11.565,87.56,174.10,269.88
3800.00,11.501,86.36,177.39,274.97
3900.00,11.438,85.21,180.65,280.02
4000.00,11.376,84.09,183.89,285.04
4100.00,11.316,83.01,187.11,290.03
4200.00,11.257,81.96,190.31,294.99
4300.00,11.199,80.95,193.49,299.91
4400.00,11.142,79.96,196.65,304.81
4500.00,11.087,79.01,199.80,309.68
4600.00,11.032,78.09,202.92,314.52
4700.00,10.979,77.19,206.03,319.33
4800.00,10.926,76.31,209.12,324.12
4900.00,10.875,75.46,212.20,328.88
5000.00,10.825,74.64,215.26,333.62
6000.00,10.366,67.45,245.09,379.81
7000.00,9.9770,61.77,273.72,424.15
8000.00,9.6396,57.14,301.40,467.00
9000.00,9.3429,53.30,328.28,508.61
10000.00,9.0788,50.05,354.48,549.16
